,Serialno,ROLL_x,ROLL,PITCH,YAW,ODDO1,ODDO1_SPEED,ODDO2,ODDO2_SPEED,VELOCITY,BATTERY_PERCENTAGE,BATTERY_VOLTAGE,TEMP1,TEMP2,filename,proximity1,proximity2,proximity3,proximity4,proximity5,proximity6,proximity7,proximity8,proximity9,proximity10,proximity11,proximity12,proximity13,proximity14,proximity15,proximity16,proximity17,proximity18,runid,index
0,78196,-118.82,36.19,-1.09,80.53,15839.25,0.01,3032.446043,0.01,0,1710581516,0,0,0,1,20865872,20619376,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78197
1,78197,-118.82,36.19,-1.09,80.53,15851.5,0.01,3033.23741,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78198
2,78198,-118.82,36.19,-1.09,80.53,15863.75,0.01,3034.028777,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78199
3,78199,-118.82,36.19,-1.09,80.53,15864.15296,0.01,3034.820144,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78200
4,78200,-118.82,36.19,-1.09,80.53,15864.55592,0.01,3035.611511,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78201
5,78201,-118.82,36.19,-1.09,80.53,15864.95888,0.01,3036.402878,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20788208,20901184,20831280,20822704,20900640,24,78202
6,78202,-118.82,36.19,-1.09,80.53,15865.36184,0.01,3037.194245,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20919392,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78203
7,78203,-118.82,36.19,-1.09,80.53,15865.7648,0.01,3037.985612,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78204
8,78204,-118.82,36.19,-1.09,80.53,15866.16776,0.01,3038.776978,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78205
9,78205,-118.82,36.19,-1.09,80.53,15866.57072,0.01,3039.568345,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78206
10,78206,-118.82,36.19,-1.09,80.53,15866.97368,0.01,3040.359712,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78207
11,78207,-118.72,36.29,-0.36,79.99,15867.37664,0.01,3041.151079,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78208
12,78208,-118.72,36.29,-0.36,79.99,15867.77961,0.01,3041.942446,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78209
13,78209,-118.72,36.29,-0.36,79.99,15868.18257,0.01,3042.733813,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78210
14,78210,-118.72,36.29,-0.36,79.99,15868.58553,0.01,3043.52518,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78211
15,78211,-118.72,36.29,-0.36,79.99,15868.98849,0.01,3044.316547,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78212
16,78212,-118.72,36.29,-0.36,79.99,15869.39145,0.01,3045.107914,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20910576,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78213
17,78213,-118.72,36.29,-0.36,79.99,15869.79441,0.01,3045.899281,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78214
18,78214,-118.72,36.29,-0.36,79.99,15870.19737,0.01,3046.690647,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78215
19,78215,-118.72,36.29,-0.36,79.99,15870.60033,0.01,3047.482014,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78216
20,78216,-118.72,36.29,-0.36,79.99,15871.00329,0.01,3048.273381,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78217
21,78217,-118.72,36.29,-0.36,79.99,15871.40625,0.01,3049.064748,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20900640,24,78218
22,78218,-118.72,36.29,-0.36,79.99,15871.80921,0.01,3049.856115,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20831280,20822704,20912864,24,78219
23,78219,-118.72,36.29,-0.36,79.99,15872.21217,0.01,3050.647482,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78220
24,78220,-118.72,36.29,-0.36,79.99,15872.61513,0.01,3051.438849,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20680224,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78221
25,78221,-118.72,36.29,-0.36,79.99,15873.01809,0.01,3052.230216,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78222
26,78222,-118.72,36.29,-0.36,79.99,15873.42105,0.01,3053.021583,0.01,0.21,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20733344,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78223
27,78223,-118.7,36.31,-0.73,80.07,15873.82401,0.01,3053.81295,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78224
28,78224,-118.7,36.31,-0.73,80.07,15874.22697,0.01,3054.604317,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78225
29,78225,-118.7,36.31,-0.73,80.07,15874.62993,0.01,3055.395683,0.01,0,1710581516,0,0,0,1,20865872,20642000,20681344,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78226
30,78226,-118.7,36.31,-0.73,80.07,15875.03289,0.01,3056.18705,0.01,0,1710581516,0,0,0,1,20865872,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78227
31,78227,-118.7,36.31,-0.73,80.07,15875.43586,0.01,3056.978417,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78228
32,78228,-118.7,36.31,-0.73,80.07,15875.83882,0.01,3057.769784,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78229
33,78229,-118.7,36.31,-0.73,80.07,15876.24178,0.01,3058.561151,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78230
34,78230,-118.7,36.31,-0.73,80.07,15876.64474,0.01,3059.352518,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20945872,20805648,20901184,20844192,20822704,20912864,24,78231
35,78231,-118.7,36.31,-0.73,80.07,15877.0477,0.01,3060.143885,0.01,0,1710581516,0,0,0,1,20856768,20642000,20684256,20881136,21253136,20690992,20886192,20929136,20837808,20918816,20740048,20491120,20948416,20805648,20901184,20844192,20822704,20912864,24,78232
