index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17660,-92.05760240000006,7376064,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552
17661,-91.46866010000008,7376064,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552
17662,-90.8797178000001,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17663,-90.2907755,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17664,-89.70183320000001,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17665,-89.11289090000002,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17666,-88.52394860000004,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17667,-87.93500630000005,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17668,-87.34606400000007,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17669,-86.75712170000008,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17670,-86.16817939999999,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17671,-85.5792371,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17672,-84.99029480000002,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7479408,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17673,-84.40135240000006,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7354368,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17674,-83.81241010000008,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7360464,7512240,7373552,7376064
17675,-83.2234678000001,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7363088,7512240,7373552,7376064
17676,-82.6345255,7527632,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7363088,7512240,7373552,7376064
17677,-82.04558320000001,7532128,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7363088,7512240,7373552,7376064
17678,-81.45664090000002,7532128,7377632,7326208,7490096,7578544,7378208,7382976,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7369680,7565728,7531408,7382320,7363088,7512240,7373552,7376064
17679,-80.86769860000004,7532128,7377632,7326208,7490096,7578544,7378208,7379424,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7367360,7565728,7531408,7382320,7363088,7512240,7373552,7376064
17680,-80.27875630000005,7532128,7377632,7326208,7490096,7578544,7378208,7379424,7392304,7351808,7446464,7344144,7335152,7497856,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7373552,7376064
