,proximity1,proximity2,proximity3,proximity4,proximity5,proximity6,proximity7,proximity8,proximity9,proximity10,proximity11,proximity12,proximity13,proximity14,proximity15,proximity16,proximity17,proximity18
0,23669856,23936624,23641408,23716160,23698240,23794208,23913376,23770704,23494000,23699280,23897984,23864752,24027248,23847056,23529024,23778080,23878224,23556048
1,23669856,23936624,23641408,23716160,23698240,23794208,23913376,23770704,23494000,23699280,23897984,23864752,24027248,23847056,23529024,23778080,23878224,23556048
2,23669856,23936624,23641408,23716032,23698240,23794208,23913376,23770944,23494000,23699536,23897984,23864752,24027248,23847056,23529024,23778080,23878224,23555712
3,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
4,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
5,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
6,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
7,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
8,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24027248,23847056,23529024,23778080,23878224,23555712
9,23669856,23935856,23641408,23716032,23698240,23794320,23913376,23770944,23494000,23699536,23897984,23864672,24026576,23847056,23528832,23778080,23878224,23555712
10,23669856,23935856,23641040,23716032,23698240,23794320,23913376,23770944,23494080,23699536,23897984,23864672,24026576,23847056,23528832,23778080,23877984,23555712
11,23669856,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897984,23864672,24026576,23847056,23528832,23778080,23877984,23555712
12,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23847056,23528832,23778080,23877984,23555712
13,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23847056,23528832,23778080,23877984,23555712
14,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23847056,23528832,23778080,23877984,23555712
15,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23847056,23528832,23778080,23877984,23555712
16,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23847056,23528832,23778080,23877984,23555712
17,23669552,23935856,23641040,23716032,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23846992,23528832,23778112,23877984,23555712
18,23669552,23935856,23641040,23715360,23697712,23794320,23913360,23770944,23494080,23699536,23897888,23864672,24026576,23846992,23528832,23778112,23877984,23555904
19,23669552,23935856,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864672,24026576,23846992,23528832,23778112,23877984,23555904
20,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24026576,23846992,23528832,23778112,23877984,23555904
21,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24026576,23846992,23528832,23778112,23877984,23555904
22,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24026576,23846992,23528832,23778112,23877984,23555904
23,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24026576,23846992,23528832,23778112,23877984,23555904
24,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24026576,23846992,23528832,23778112,23877984,23555904
25,23669552,23935424,23641040,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24025888,23846992,23528752,23778112,23877984,23555904
26,23669552,23935424,23639664,23715360,23697712,23793696,23913360,23770512,23494080,23699392,23897888,23864704,24025888,23846992,23528752,23778112,23878192,23555904
27,23669552,23935424,23639664,23715360,23697712,23793696,23912368,23770512,23494080,23699392,23897888,23864704,24025888,23846992,23528752,23778112,23878192,23555904
28,23668768,23935424,23639664,23715360,23695520,23793696,23912368,23770512,23493792,23699392,23897680,23864704,24025888,23846992,23528752,23778112,23878192,23555904
29,23668768,23935424,23639664,23715360,23695520,23793696,23912368,23770512,23493792,23699392,23897680,23864704,24025888,23846992,23528752,23778112,23878192,23555904
30,23668768,23935424,23639664,23715360,23695520,23793696,23912368,23770512,23493792,23699392,23897680,23864704,24025888,23846992,23528752,23778112,23878192,23555904
