,proximity1,proximity2,proximity3,proximity4,proximity5,proximity6,proximity7,proximity8,proximity9,proximity10,proximity11,proximity12,proximity13,proximity14,proximity15,proximity16,proximity17,proximity18
0,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23563984,23247280,23495568,23583504,23259952
1,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23563984,23247280,23495568,23583504,23259952
2,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23563984,23247280,23495568,23583504,23259952
3,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23563984,23247280,23495568,23583504,23259952
4,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23564064,23247280,23495600,23583504,23259952
5,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23564064,23247280,23495600,23583504,23259952
6,23400256,23581472,23401936,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23564064,23247280,23495600,23583504,23259952
7,23400256,23581472,23401600,23370896,23450016,23519984,23795232,23520928,23375184,23407856,23582736,23576976,23719168,23564064,23247280,23495600,23583504,23259952
8,23400256,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582736,23576976,23719168,23564064,23247280,23495600,23583504,23259952
9,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719168,23564064,23247280,23495600,23583504,23259952
10,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719168,23564064,23247280,23495600,23583504,23259952
11,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719168,23564064,23247280,23495600,23583504,23259952
12,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719168,23564064,23247280,23495600,23583504,23259952
13,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719120,23564064,23247264,23495600,23583504,23259952
14,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719120,23564064,23247264,23495600,23583792,23259952
15,23400080,23581472,23401600,23370896,23450112,23519984,23795216,23520928,23375200,23407856,23582768,23576976,23719120,23564064,23247264,23495600,23583792,23259952
16,23400080,23581472,23401600,23370928,23450112,23519984,23795216,23521072,23375200,23407888,23582768,23576976,23719120,23564064,23247264,23495600,23583792,23259952
17,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564064,23247264,23495600,23583792,23259952
18,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564064,23247264,23495600,23583792,23259952
19,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564064,23247264,23495600,23583792,23259952
20,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564064,23247264,23495600,23583792,23259952
21,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564000,23247264,23495568,23583792,23259952
22,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564000,23247264,23495568,23583792,23259920
23,23400080,23581376,23401600,23370928,23450112,23520256,23795216,23521072,23375200,23407888,23582768,23576912,23719120,23564000,23247264,23495568,23583792,23259920
24,23400080,23581376,23401632,23370928,23450112,23520256,23795184,23521072,23375184,23407888,23582768,23576912,23719120,23564000,23247264,23495568,23583792,23259920
25,23400144,23581376,23401632,23370928,23450112,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719120,23564000,23247264,23495568,23583792,23259920
26,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719120,23564000,23247264,23495568,23583792,23259920
27,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719120,23564000,23247264,23495568,23583792,23259920
28,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719120,23564000,23247264,23495568,23583792,23259920
29,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719168,23564000,23247280,23495568,23583792,23259920
30,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719168,23564000,23247280,23495568,23583360,23259920
31,23400144,23581376,23401632,23370928,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719168,23564000,23247280,23495568,23583360,23259920
32,23400144,23581376,23401632,23370864,23450032,23520256,23795184,23521072,23375184,23407888,23582736,23576912,23719168,23564000,23247280,23495568,23583360,23259920
33,23400144,23581376,23401632,23370864,23450032,23520256,23795184,23521104,23375184,23407872,23582736,23576912,23719168,23564000,23247280,23495568,23583360,23259920
34,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23564000,23247280,23495568,23583360,23259920
35,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23564000,23247280,23495568,23583360,23259920
36,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23564000,23247280,23495568,23583360,23259920
37,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23564000,23247280,23495584,23583360,23259920
38,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23563968,23247280,23495584,23583360,23259920
39,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23563968,23247280,23495584,23583360,23259968
40,23400144,23581456,23401632,23370864,23450032,23520272,23795184,23521104,23375184,23407872,23582736,23576896,23719168,23563968,23247280,23495584,23583360,23259968
41,23400144,23581456,23401872,23370864,23450032,23520272,23795200,23521104,23375168,23407872,23582736,23576896,23719168,23563968,23247280,23495584,23583360,23259968
